Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Lie,BTS,M,215753.0,6.0,0.0,3.0,0.00331,0.542,0.777,0.0,0.178,-5.582,0.033,0.503,94.069,58.0
Stigma,BTS,M,216063.0,0.0,0.0,4.0,0.148,0.583,0.475,0.0,0.139,-5.556,0.0846,0.332,136.034,58.0
First Love,BTS,M,189795.0,8.0,0.0,4.0,0.362,0.517,0.741,0.0,0.164,-5.997,0.323,0.672,86.526,53.0
Reflection,BTS,M,233917.0,2.0,1.0,4.0,0.0135,0.56,0.607,1.63e-06,0.2,-7.991,0.076,0.27,73.995,52.0
MAMA,BTS,M,212275.0,5.0,0.0,4.0,0.000226,0.544,0.739,2.14e-05,0.0816,-4.818,0.232,0.467,185.81,54.0
Awake,BTS,M,226161.0,3.0,1.0,4.0,0.023,0.357,0.498,1.99e-06,0.269,-6.589,0.0332,0.339,142.816,56.0
Lost,BTS,M,241787.0,9.0,0.0,4.0,0.000371,0.547,0.84,0.0,0.0562,-4.156,0.0551,0.479,85.001,56.0
BTS Cypher 4,BTS,M,294463.0,1.0,0.0,4.0,0.00533,0.817,0.797,7.77e-06,0.0551,-4.395,0.084,0.362,119.977,56.0
Am I Wrong,BTS,M,213082.0,6.0,1.0,4.0,0.00125,0.761,0.834,1e-05,0.0868,-4.992,0.0494,0.68,107.988,54.0
21st Century Girl,BTS,M,192597.0,2.0,1.0,4.0,0.00423,0.716,0.906,0.0,0.0547,-3.539,0.0717,0.762,101.028,56.0
2! 3!,BTS,M,272537.0,7.0,1.0,4.0,0.0254,0.439,0.928,0.0,0.1,-4.096,0.233,0.599,169.928,57.0
Spring Day,BTS,M,274097.0,8.0,1.0,4.0,0.0063,0.539,0.846,1.68e-06,0.13,-3.192,0.0354,0.46,106.992,75.0
Not Today,BTS,M,231860.0,8.0,1.0,4.0,0.00181,0.594,0.946,1.04e-06,0.923,-3.408,0.126,0.665,110.024,72.0
Outro: Wings,BTS,M,225447.0,11.0,0.0,4.0,0.00503,0.654,0.903,0.0,0.0875,-3.117,0.121,0.659,124.988,67.0
A Supplementary Story: You Never Walk Alone,BTS,M,156061.0,8.0,1.0,4.0,0.00596,0.695,0.903,0.0,0.0668,-4.788,0.152,0.59,127.99,61.0
Intro: Boy Meets Evil,BTS,M,122080.0,5.0,0.0,4.0,0.0228,0.554,0.905,0.0,0.362,-3.465,0.25,0.255,130.032,43.0
Blood Sweat & Tears,BTS,M,217027.0,0.0,0.0,4.0,0.0253,0.579,0.89,0.0,0.358,-3.553,0.111,0.588,93.03,52.0
Begin,BTS,M,229720.0,9.0,0.0,4.0,0.00372,0.574,0.851,0.000122,0.14,-5.249,0.0437,0.256,130.93,46.0
Lie,BTS,M,215733.0,6.0,0.0,3.0,0.00255,0.547,0.797,0.0,0.228,-5.599,0.0339,0.49,94.074,48.0
Stigma,BTS,M,216040.0,0.0,0.0,4.0,0.156,0.444,0.484,0.0,0.18,-5.602,0.129,0.372,134.093,43.0
First Love,BTS,M,189773.0,8.0,0.0,4.0,0.365,0.553,0.745,0.0,0.167,-5.977,0.313,0.71,87.587,35.0
Reflection,BTS,M,233893.0,2.0,1.0,4.0,0.0115,0.528,0.621,2.01e-06,0.16,-8.057,0.0931,0.317,147.997,34.0
Mama,BTS,M,212253.0,5.0,0.0,4.0,0.000222,0.544,0.744,1.66e-05,0.0796,-4.795,0.219,0.437,185.996,38.0
Awake,BTS,M,226133.0,3.0,1.0,4.0,0.0225,0.311,0.504,1.13e-06,0.288,-6.566,0.034,0.308,143.205,42.0
Lost,BTS,M,241773.0,0.0,1.0,4.0,0.000371,0.401,0.836,0.0,0.0477,-4.206,0.0828,0.396,84.748,45.0
BTS Cypher 4,BTS,M,294440.0,1.0,0.0,4.0,0.0056,0.821,0.79,9.84e-06,0.0541,-4.422,0.0779,0.373,119.965,44.0
Am I Wrong,BTS,M,213040.0,10.0,0.0,4.0,0.00158,0.756,0.834,5.5e-06,0.0824,-4.983,0.0568,0.634,107.968,39.0
21st Century Girl,BTS,M,192600.0,2.0,1.0,4.0,0.00417,0.715,0.901,0.0,0.0546,-3.534,0.0634,0.829,101.023,48.0
2! 3!,BTS,M,272507.0,11.0,0.0,4.0,0.0232,0.43,0.929,0.0,0.102,-4.089,0.249,0.61,169.74,44.0
Interlude: Wings,BTS,M,144920.0,11.0,0.0,4.0,0.0103,0.64,0.85,0.0,0.0962,-3.078,0.0884,0.616,125.007,39.0
Intro: Boy Meets Evil,BTS,M,121771.0,5.0,0.0,4.0,0.0212,0.573,0.89,0.0,0.132,-3.53,0.214,0.242,130.254,65.0
Blood Sweat & Tears,BTS,M,217052.0,0.0,0.0,4.0,0.0244,0.583,0.885,0.0,0.357,-3.571,0.106,0.601,92.959,75.0
Begin,BTS,M,229740.0,9.0,0.0,4.0,0.00361,0.566,0.844,0.000257,0.141,-5.222,0.0444,0.291,131.049,67.0
Lie,BTS,M,215753.0,6.0,0.0,3.0,0.00331,0.542,0.777,0.0,0.178,-5.582,0.033,0.503,94.069,71.0
Stigma,BTS,M,216063.0,0.0,0.0,4.0,0.148,0.583,0.475,0.0,0.139,-5.556,0.0846,0.332,136.034,66.0
First Love,BTS,M,189795.0,8.0,0.0,4.0,0.362,0.517,0.741,0.0,0.164,-5.997,0.323,0.672,86.526,61.0
Reflection,BTS,M,233917.0,2.0,1.0,4.0,0.0135,0.56,0.607,1.63e-06,0.2,-7.991,0.076,0.27,73.995,58.0
MAMA,BTS,M,212275.0,5.0,0.0,4.0,0.000226,0.544,0.739,2.14e-05,0.0816,-4.818,0.232,0.467,185.81,61.0
Awake,BTS,M,226161.0,3.0,1.0,4.0,0.023,0.357,0.498,1.99e-06,0.269,-6.589,0.0332,0.339,142.816,64.0
Lost,BTS,M,241787.0,9.0,0.0,4.0,0.000371,0.547,0.84,0.0,0.0562,-4.156,0.0551,0.479,85.001,63.0
BTS Cypher 4,BTS,M,294463.0,1.0,0.0,4.0,0.00533,0.817,0.797,7.77e-06,0.0551,-4.395,0.084,0.362,119.977,68.0
Am I Wrong,BTS,M,213082.0,6.0,1.0,4.0,0.00125,0.761,0.834,1e-05,0.0868,-4.992,0.0494,0.68,107.988,60.0
21st Century Girl,BTS,M,192597.0,2.0,1.0,4.0,0.00423,0.716,0.906,0.0,0.0547,-3.539,0.0717,0.762,101.028,67.0
2! 3!,BTS,M,272537.0,7.0,1.0,4.0,0.0254,0.439,0.928,0.0,0.1,-4.096,0.233,0.599,169.928,64.0
Interlude: Wings,BTS,M,144314.0,11.0,0.0,4.0,0.0102,0.638,0.851,0.0,0.114,-3.042,0.0662,0.6,125.0,60.0
INTRODUCTION : YOUTH,BTS,M,138973.0,6.0,0.0,4.0,0.00148,0.563,0.909,0.0028,0.364,-5.321,0.086,0.547,87.01,28.0
RUN‐Japanese Ver.‐,BTS,M,237920.0,11.0,0.0,4.0,0.000741,0.531,0.863,0.000119,0.21,-3.499,0.0411,0.551,132.982,39.0
FIRE‐Japanese Ver.‐,BTS,M,205373.0,3.0,0.0,4.0,0.00359,0.651,0.714,0.0,0.125,-2.977,0.0699,0.508,99.999,43.0
