Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Foolish (Hyelin Solo),EXID,F,253571.0,5.0,1.0,4.0,0.8,0.572,0.508,0.0,0.134,-5.449,0.044,0.193,129.482,30.0
Boy,EXID,F,207393.0,9.0,0.0,4.0,0.591,0.722,0.53,8.29e-05,0.145,-8.249,0.287,0.468,164.015,43.0
Night Rather Than Day,EXID,F,198414.0,1.0,1.0,4.0,0.111,0.756,0.845,0.0,0.311,-3.095,0.139,0.711,110.027,46.0
How Why,EXID,F,231717.0,7.0,1.0,4.0,0.107,0.717,0.716,0.0,0.733,-5.397,0.05,0.39,100.001,31.0
Woo Yoo [Hani Solo],EXID,F,204353.0,10.0,0.0,4.0,0.722,0.71,0.581,0.0,0.185,-5.979,0.0327,0.264,123.924,36.0
Velvet [LE Solo],EXID,F,192157.0,6.0,0.0,4.0,0.345,0.642,0.71,0.0,0.0979,-7.343,0.387,0.21,162.901,40.0
Night Rather Than Day - Instrumental,EXID,F,198414.0,1.0,1.0,4.0,0.00225,0.722,0.77,0.817,0.105,-6.228,0.0592,0.473,109.99,22.0
dlwlrma,IU,F,176099.0,4.0,1.0,4.0,0.315,0.738,0.641,0.0,0.114,-3.44,0.0475,0.631,119.867,58.0
Palette (Feat. G-DRAGON),IU,F,217413.0,0.0,1.0,4.0,0.458,0.804,0.68,0.0,0.102,-3.81,0.2,0.62,102.013,68.0
Ending Scene,IU,F,249242.0,5.0,1.0,4.0,0.851,0.388,0.323,2.03e-06,0.143,-7.158,0.0348,0.232,118.885,65.0
Can't Love You Anymore (With OHHYUK),IU,F,195230.0,9.0,0.0,4.0,0.566,0.611,0.63,0.0,0.237,-4.419,0.363,0.66,65.619,55.0
Jam Jam,IU,F,218160.0,7.0,1.0,4.0,0.121,0.733,0.697,3.72e-06,0.218,-4.622,0.0544,0.388,116.019,57.0
Black Out,IU,F,227701.0,8.0,1.0,4.0,0.166,0.684,0.801,2.37e-06,0.0243,-4.063,0.0651,0.778,98.042,49.0
Full Stop,IU,F,236189.0,11.0,1.0,4.0,0.906,0.401,0.211,0.0,0.0863,-10.424,0.0345,0.203,122.262,50.0
Through the Night,IU,F,253293.0,8.0,1.0,4.0,0.757,0.428,0.313,0.0,0.309,-7.327,0.0391,0.284,78.723,67.0
Love Alone,IU,F,281945.0,10.0,0.0,4.0,0.914,0.496,0.2,0.0,0.2,-11.532,0.0496,0.135,130.104,49.0
Dear Name,IU,F,289580.0,2.0,1.0,3.0,0.459,0.312,0.589,0.0,0.106,-5.071,0.0334,0.237,133.854,59.0
Shoes,IU,F,215205.0,9.0,1.0,4.0,0.505,0.766,0.814,1.92e-05,0.346,-1.908,0.0351,0.893,92.004,46.0
Zezé,IU,F,190711.0,11.0,1.0,4.0,0.27,0.771,0.848,0.0,0.0873,-1.682,0.108,0.708,93.024,48.0
Twenty-Three,IU,F,194325.0,5.0,0.0,4.0,0.0168,0.757,0.955,0.0,0.0817,-2.299,0.0412,0.968,122.952,57.0
The Shower,IU,F,247106.0,3.0,1.0,4.0,0.784,0.578,0.324,0.0,0.106,-7.291,0.0304,0.228,86.915,52.0
Red Queen,IU,F,212518.0,1.0,1.0,4.0,0.0693,0.788,0.852,0.0,0.0992,-2.473,0.125,0.857,90.988,47.0
Knees,IU,F,282887.0,0.0,1.0,4.0,0.915,0.441,0.238,0.0,0.176,-10.132,0.0319,0.203,133.386,54.0
Glasses,IU,F,196556.0,11.0,0.0,4.0,0.185,0.578,0.462,0.0,0.233,-4.997,0.043,0.608,114.999,47.0
나의 옛날이야기 (Naui Yetnal Iyagi) : My old story,IU,F,213917.0,3.0,1.0,4.0,0.768,0.514,0.285,3e-05,0.232,-8.678,0.0348,0.177,129.943,53.0
꽃 (Kkot) : Flower,IU,F,179931.0,9.0,0.0,3.0,0.858,0.284,0.263,0.0,0.17,-8.369,0.0377,0.16,82.759,37.0
삐에로는 우릴 보고 웃지 (Pierrot-neun Uril bogo utji) : Pierrot laughs at us,IU,F,233639.0,2.0,0.0,4.0,0.751,0.824,0.555,0.0,0.0583,-6.334,0.0369,0.644,106.015,44.0
사랑이 지나가면 (Sarang-i Jinagamyeon) : When love passes by,IU,F,240744.0,0.0,1.0,3.0,0.667,0.275,0.326,0.0,0.11,-7.255,0.035,0.244,199.082,46.0
너의 의미 (Neoui uimi) (feat.Kim Chang-Wan) : Meaning of you,IU,F,195657.0,3.0,1.0,4.0,0.74,0.59,0.445,0.0257,0.117,-8.171,0.0281,0.34,79.652,52.0
여름밤의 꿈 (Yeoreumbam-ui Kkum) : Dreams in summer night,IU,F,237061.0,4.0,1.0,4.0,0.95,0.49,0.0878,0.0,0.154,-14.414,0.0386,0.213,141.486,46.0
꿍따리 샤바라 (Kkungttari-Shabara) (feat.Clon) : Boom Ladi Dadi,IU,F,229016.0,11.0,1.0,4.0,0.73,0.78,0.357,0.0,0.448,-7.798,0.0338,0.503,96.031,36.0
Friday (feat.Jang Yi-jeong of HISTORY),IU,F,217156.0,9.0,1.0,4.0,0.56,0.693,0.529,0.0,0.111,-4.819,0.0539,0.555,80.026,60.0
Crayon,IU,F,193881.0,6.0,0.0,4.0,0.236,0.565,0.774,0.0,0.635,-3.927,0.14,0.674,89.849,36.0
Love of B (With Park Ju-won),IU,F,191373.0,8.0,1.0,4.0,0.711,0.637,0.483,3.16e-06,0.124,-3.294,0.1,0.696,198.778,33.0
Everybody has secrets (feat.GAIN of Brown Eyed Girls),IU,F,229433.0,8.0,0.0,4.0,0.286,0.681,0.716,2.45e-05,0.0541,-4.818,0.0363,0.637,95.992,33.0
Between the lips(50cm),IU,F,170789.0,4.0,0.0,3.0,0.44,0.474,0.4,0.0,0.215,-6.198,0.0388,0.452,143.686,35.0
The Red Shoes,IU,F,254276.0,6.0,1.0,4.0,0.489,0.677,0.882,0.0,0.0991,-2.511,0.188,0.39,118.06,38.0
Modern Times,IU,F,205584.0,10.0,1.0,4.0,0.609,0.49,0.796,0.0,0.172,-3.351,0.0835,0.661,199.949,35.0
Bad Day,IU,F,232777.0,2.0,1.0,4.0,0.778,0.446,0.373,0.0,0.167,-7.941,0.031,0.257,131.658,35.0
Obliviate,IU,F,190250.0,8.0,0.0,4.0,0.671,0.482,0.625,0.0,0.213,-4.19,0.0329,0.541,173.907,34.0
Havana,IU,F,249130.0,1.0,1.0,4.0,0.706,0.54,0.637,0.0,0.116,-5.963,0.0342,0.552,114.531,32.0
A Gloomy Clock (feat.Jong-hyun of SHINee),IU,F,168150.0,3.0,1.0,4.0,0.369,0.863,0.229,0.0,0.104,-8.184,0.0544,0.498,118.023,37.0
Daydream (feat.Yang Hee-eun),IU,F,220813.0,9.0,1.0,4.0,0.82,0.567,0.284,0.0,0.153,-8.627,0.0271,0.298,99.797,31.0
Wait,IU,F,150962.0,0.0,0.0,4.0,0.0987,0.826,0.921,0.0476,0.0504,-6.954,0.0461,0.945,134.963,29.0
(Bonus Track) Voice Mail (Korean Ver.),IU,F,246178.0,1.0,1.0,3.0,0.899,0.45,0.353,0.0,0.0995,-7.724,0.032,0.224,119.973,33.0
Love of B (With Park Ju-won),IU,F,191373.0,8.0,1.0,4.0,0.711,0.637,0.483,3.16e-06,0.124,-3.294,0.1,0.696,198.778,42.0
Everybody has secrets (feat.GAIN of Brown Eyed Girls),IU,F,229433.0,8.0,0.0,4.0,0.233,0.681,0.714,1.93e-05,0.0549,-4.823,0.0352,0.645,95.987,32.0
Between the lips (50cm),IU,F,170789.0,4.0,0.0,3.0,0.44,0.474,0.4,0.0,0.215,-6.198,0.0388,0.452,143.686,44.0
The Red Shoes,IU,F,254276.0,6.0,1.0,4.0,0.487,0.635,0.923,0.0,0.0889,-2.132,0.209,0.39,118.076,48.0
Modern Times,IU,F,205584.0,10.0,1.0,4.0,0.609,0.49,0.796,0.0,0.172,-3.351,0.0835,0.661,199.949,44.0
Bad Day,IU,F,232777.0,2.0,1.0,4.0,0.778,0.446,0.373,0.0,0.167,-7.941,0.031,0.257,131.658,44.0
Obliviate,IU,F,190250.0,8.0,0.0,4.0,0.671,0.482,0.625,0.0,0.213,-4.19,0.0329,0.541,173.907,42.0
Havana,IU,F,249130.0,1.0,1.0,4.0,0.706,0.54,0.637,0.0,0.116,-5.963,0.0342,0.552,114.531,42.0
A Gloomy Clock (feat.Jong-hyun of SHINee),IU,F,168150.0,3.0,1.0,4.0,0.369,0.863,0.229,0.0,0.104,-8.184,0.0544,0.498,118.023,46.0
Daydream (feat.Yang Hee-eun),IU,F,220813.0,9.0,1.0,4.0,0.82,0.567,0.284,0.0,0.153,-8.627,0.0271,0.298,99.797,41.0
Wait,IU,F,150962.0,0.0,0.0,4.0,0.0987,0.826,0.921,0.0476,0.0504,-6.954,0.0461,0.945,134.963,27.0
(Bonus Track) Voice Mail (Korean Ver.),IU,F,246178.0,1.0,1.0,3.0,0.899,0.45,0.353,0.0,0.0995,-7.724,0.032,0.224,119.973,43.0
Not like this,IU,F,184189.0,6.0,1.0,4.0,0.458,0.843,0.611,0.0,0.41,-4.981,0.0475,0.883,109.086,32.0
What I'm doing slow,IU,F,252029.0,4.0,1.0,4.0,0.812,0.577,0.478,0.0,0.101,-5.55,0.0315,0.286,131.851,45.0
Good day,IU,F,233613.0,9.0,1.0,4.0,0.163,0.643,0.878,0.0,0.105,-2.998,0.0673,0.583,128.035,63.0
The night of the first breakup,IU,F,266162.0,0.0,1.0,4.0,0.89,0.343,0.347,1.18e-05,0.141,-7.875,0.0311,0.245,143.965,45.0
In a room alone,IU,F,237401.0,6.0,0.0,4.0,0.586,0.712,0.621,5.06e-06,0.348,-5.29,0.0321,0.652,124.016,34.0
Merry Christmas ahead (feat.Chundung),IU,F,268225.0,9.0,1.0,4.0,0.306,0.666,0.798,0.0,0.285,-4.517,0.0472,0.484,128.079,46.0
Good day (inst),IU,F,233613.0,9.0,1.0,4.0,0.0215,0.656,0.744,0.668,0.118,-5.976,0.0398,0.64,128.024,29.0
Love attack,IU,F,190616.0,1.0,1.0,4.0,0.0792,0.7,0.915,0.00584,0.0721,-2.338,0.032,0.67,130.963,27.0
Taking a traing,IU,F,223295.0,7.0,1.0,4.0,0.714,0.498,0.422,0.0,0.16,-6.68,0.0304,0.457,133.055,33.0
marshmallow,IU,F,194325.0,2.0,1.0,4.0,0.0918,0.851,0.868,3.42e-06,0.295,-3.538,0.0685,0.852,140.028,38.0
Tear drops in the morning,IU,F,230531.0,1.0,1.0,4.0,0.527,0.385,0.454,0.0,0.0941,-6.039,0.0407,0.112,99.005,33.0
heart beating date,IU,F,201796.0,9.0,1.0,4.0,0.0791,0.718,0.925,2.12e-05,0.0829,-2.736,0.182,0.944,166.011,26.0
Taking a drive in the evening,IU,F,223269.0,7.0,1.0,4.0,0.292,0.397,0.253,0.855,0.147,-13.428,0.0309,0.114,67.244,25.0
Tear drops in the morning,IU,F,230531.0,1.0,1.0,4.0,0.0353,0.601,0.264,0.931,0.0887,-11.029,0.0269,0.103,108.0,24.0
Looking at you,IU,F,203180.0,8.0,0.0,4.0,0.0663,0.656,0.718,0.0,0.176,-6.447,0.0608,0.503,93.081,28.0
Boo,IU,F,203833.0,5.0,1.0,4.0,0.0152,0.747,0.792,0.0,0.319,-4.064,0.0362,0.793,124.008,34.0
pitiful,IU,F,200725.0,6.0,1.0,4.0,0.786,0.491,0.427,0.0,0.101,-6.818,0.0486,0.14,133.76,28.0
A Dreamer,IU,F,255216.0,4.0,1.0,4.0,0.13,0.583,0.684,0.0,0.0949,-5.307,0.0298,0.289,90.041,34.0
Every Sweet Day,IU,F,209371.0,11.0,1.0,4.0,0.359,0.845,0.481,0.0,0.0737,-7.468,0.0401,0.772,121.942,28.0
lost child,IU,F,222485.0,11.0,1.0,4.0,0.523,0.59,0.837,0.0,0.139,-2.888,0.0398,0.15,123.878,32.0
Four Without Me,IU,F,190250.0,6.0,0.0,4.0,0.154,0.783,0.769,0.0,0.109,-5.774,0.062,0.902,144.05,26.0
Well… (feat.Mario),IU,F,201744.0,6.0,1.0,4.0,0.148,0.834,0.84,0.0,0.247,-4.677,0.0931,0.817,133.986,26.0
Graduation Day,IU,F,224653.0,11.0,0.0,4.0,0.089,0.683,0.623,1.86e-05,0.345,-5.753,0.0503,0.911,148.023,27.0
Feel So Good,IU,F,243879.0,0.0,1.0,4.0,0.642,0.796,0.378,0.0,0.097,-10.09,0.0332,0.638,105.017,28.0
ugly duckling,IU,F,208849.0,2.0,1.0,4.0,0.785,0.679,0.343,0.0,0.109,-8.545,0.027,0.256,89.994,31.0
Face To Face (After Looking At),IU,F,203207.0,8.0,0.0,4.0,0.114,0.671,0.725,0.0,0.224,-6.659,0.0522,0.548,93.051,26.0
A Lost Child,IU,F,227892.0,9.0,1.0,4.0,0.59,0.544,0.456,0.0,0.115,-5.893,0.0275,0.273,123.882,28.0
Well…,IU,F,190616.0,6.0,1.0,4.0,0.0162,0.478,0.883,0.0,0.371,-2.642,0.0496,0.559,150.061,30.0
Boo,IU,F,203259.0,5.0,1.0,4.0,0.000186,0.646,0.714,0.785,0.0468,-6.467,0.0472,0.656,124.025,22.0
pitiful,IU,F,200673.0,3.0,0.0,4.0,0.589,0.473,0.361,0.892,0.0994,-11.12,0.0333,0.112,134.013,23.0
Give You My Heart,IU,F,280360.0,8.0,1.0,3.0,0.683,0.344,0.43,0.0,0.0881,-5.503,0.0434,0.385,167.332,70.0
Give You My Heart (Inst.),IU,F,280360.0,8.0,1.0,3.0,0.827,0.251,0.182,0.838,0.0977,-13.88,0.038,0.121,167.627,50.0
First Winter,IU,F,240853.0,7.0,1.0,4.0,0.695,0.457,0.525,0.0,0.103,-6.55,0.0352,0.194,132.017,50.0
First Winter (Inst.),IU,F,240840.0,7.0,1.0,4.0,0.344,0.534,0.43,0.91,0.101,-10.2,0.0282,0.102,132.073,23.0
unlucky,IU,F,231133.0,10.0,1.0,4.0,0.836,0.528,0.482,0.0,0.136,-3.689,0.0444,0.505,169.907,58.0
The visitor,IU,F,231187.0,9.0,0.0,3.0,0.662,0.504,0.31,2.82e-06,0.173,-7.312,0.16,0.331,186.952,56.0
Blueming,IU,F,217053.0,0.0,1.0,4.0,0.0849,0.819,0.674,0.0,0.0667,-3.145,0.0587,0.682,106.032,72.0
Lullaby,IU,F,261720.0,3.0,1.0,4.0,0.889,0.473,0.297,0.0,0.133,-6.706,0.0339,0.292,129.083,57.0
Love poem,IU,F,258239.0,11.0,1.0,4.0,0.74,0.404,0.467,0.0,0.106,-5.276,0.0413,0.273,119.994,59.0
Love poem,IU,F,258227.0,11.0,1.0,4.0,0.693,0.403,0.478,0.0,0.108,-5.185,0.0422,0.271,121.18,64.0
BBIBBI,IU,F,194426.0,7.0,1.0,4.0,0.241,0.839,0.617,0.0,0.3,-4.692,0.331,0.821,143.894,71.0
가을 아침 [Gaeul Achim] : Autumn morning,IU,F,218885.0,9.0,1.0,4.0,0.785,0.571,0.316,0.0,0.376,-7.22,0.142,0.547,170.901,40.0
비밀의 화원 [Bimilui Hwawon] : Secret Garden,IU,F,224791.0,2.0,1.0,4.0,0.825,0.482,0.387,0.0,0.138,-7.486,0.0472,0.258,115.051,43.0
잠 못 드는 밤 비는 내리고 [Jam Mot Deuneun Bam Bineun Naeligo] : Sleepless rainy night,IU,F,266517.0,10.0,1.0,4.0,0.727,0.761,0.456,0.000103,0.143,-7.817,0.0461,0.46,91.028,50.0
어젯밤 이야기 [Eojetbam Iyagi] : Last night story,IU,F,233051.0,6.0,0.0,4.0,0.0904,0.599,0.786,0.000474,0.0247,-4.795,0.0573,0.631,170.855,45.0
매일 그대와 [Maeil Geudaewa] : Everyday with you,IU,F,224798.0,1.0,1.0,4.0,0.814,0.546,0.231,0.0,0.11,-11.054,0.029,0.0948,92.985,39.0
가을 아침 [Gaeul Achim] : Autumn morning,IU,F,218885.0,9.0,1.0,4.0,0.791,0.57,0.316,0.0,0.337,-7.22,0.136,0.547,171.094,52.0
Can't Love You Anymore (With OHHYUK),IU,F,195230.0,9.0,0.0,4.0,0.562,0.613,0.64,0.0,0.216,-4.423,0.377,0.648,65.86,41.0
Through the Night,IU,F,253293.0,8.0,1.0,4.0,0.754,0.401,0.311,0.0,0.279,-7.327,0.0437,0.282,79.197,52.0
heart,IU,F,166933.0,7.0,1.0,4.0,0.842,0.692,0.318,0.0,0.151,-5.986,0.0277,0.267,93.625,52.0
SOGYEOKDONG,IU,F,232353.0,1.0,1.0,4.0,0.00465,0.521,0.668,4.78e-05,0.124,-4.714,0.0258,0.473,87.919,44.0
Monday Afternoon,IU,F,253480.0,9.0,0.0,4.0,0.36,0.723,0.716,6.11e-05,0.146,-5.865,0.0286,0.502,124.975,26.0
Follow The Moon,IU,F,218600.0,4.0,0.0,4.0,0.0774,0.583,0.846,1.66e-05,0.226,-5.91,0.0431,0.284,90.02,23.0
Monday Afternoon - Instrumental,IU,F,253373.0,2.0,0.0,4.0,0.113,0.627,0.81,0.966,0.159,-9.04,0.0282,0.505,125.03,15.0
Follow The Moon - Instrumental,IU,F,213920.0,4.0,0.0,4.0,0.000866,0.588,0.768,0.859,0.0668,-7.545,0.0346,0.181,90.064,14.0
CACTUS,A.C.E,M,201805.0,10.0,0.0,4.0,0.0146,0.543,0.969,3.68e-06,0.336,-2.643,0.0702,0.429,149.984,50.0
Callin',A.C.E,M,210181.0,5.0,0.0,4.0,0.121,0.552,0.887,0.0,0.0703,-3.182,0.202,0.589,77.541,45.0
Black and Blue,A.C.E,M,210656.0,9.0,1.0,4.0,0.000922,0.621,0.849,0.0,0.046,-4.367,0.109,0.628,159.929,46.0
Take Me Higher,A.C.E,M,219423.0,0.0,1.0,4.0,0.0355,0.607,0.875,0.0,0.262,-3.71,0.0499,0.608,119.969,50.0
DESSERT,A.C.E,M,201805.0,6.0,0.0,4.0,0.0025,0.651,0.813,0.0,0.111,-5.073,0.217,0.331,97.916,40.0
5TAR (Incompletion),A.C.E,M,255322.0,11.0,1.0,4.0,0.112,0.362,0.628,0.0,0.0955,-5.769,0.0572,0.143,151.283,40.0
CACTUS - Instrumental,A.C.E,M,201805.0,6.0,1.0,4.0,0.00159,0.515,0.955,0.923,0.336,-3.654,0.0509,0.601,150.003,26.0
Callin' - Instrumental,A.C.E,M,210072.0,5.0,0.0,4.0,0.0029,0.554,0.828,0.728,0.0547,-6.294,0.0738,0.546,154.981,24.0
5TAR (Incompletion) - Instrumental,A.C.E,M,255331.0,11.0,1.0,4.0,0.00149,0.585,0.605,0.788,0.0972,-8.445,0.037,0.0963,153.998,24.0
My Lover,A.C.E,M,195813.0,0.0,0.0,4.0,0.492,0.698,0.687,0.0,0.378,-4.051,0.0917,0.564,99.937,31.0
My Lover - inst,A.C.E,M,195813.0,0.0,0.0,4.0,0.149,0.777,0.569,0.871,0.402,-8.452,0.0435,0.252,99.989,19.0
Intro : escape,A.C.E,M,91551.0,7.0,1.0,3.0,0.0315,0.5,0.958,0.608,0.226,-5.839,0.266,0.51,143.035,36.0
SAVAGE,A.C.E,M,207244.0,7.0,1.0,4.0,0.0132,0.59,0.903,0.0,0.112,-2.585,0.0621,0.733,160.08,60.0
Slow Dive,A.C.E,M,202267.0,9.0,0.0,4.0,0.00627,0.602,0.865,0.0,0.142,-3.054,0.0947,0.569,140.0,50.0
So Sick,A.C.E,M,250686.0,7.0,1.0,4.0,0.0462,0.58,0.612,0.0,0.259,-5.059,0.0408,0.481,159.977,43.0
Holiday,A.C.E,M,182683.0,9.0,1.0,4.0,0.0408,0.753,0.876,0.0,0.165,-2.814,0.0462,0.84,108.014,39.0
Take Me Higher - Complete Version,A.C.E,M,219846.0,10.0,1.0,4.0,0.0215,0.585,0.876,0.0,0.189,-3.614,0.0426,0.587,120.019,42.0
All I Want Is You,A.C.E,M,251511.0,0.0,1.0,4.0,0.177,0.335,0.794,0.0,0.188,-3.218,0.0438,0.375,143.963,37.0
All I Want Is You - inst,A.C.E,M,251498.0,0.0,1.0,4.0,0.00487,0.627,0.757,0.866,0.437,-5.983,0.0332,0.109,144.041,23.0
All I Want Is You,A.C.E,M,251511.0,0.0,1.0,4.0,0.177,0.335,0.794,0.0,0.188,-3.218,0.0438,0.375,143.963,14.0
All I Want Is You - inst,A.C.E,M,251498.0,0.0,1.0,4.0,0.00487,0.627,0.757,0.866,0.437,-5.983,0.0332,0.109,144.041,4.0
Do It Like Me,A.C.E,M,208287.0,9.0,1.0,4.0,0.0147,0.722,0.915,0.00019,0.625,-2.216,0.0353,0.584,102.001,45.0
Under Cover,A.C.E,M,226921.0,5.0,0.0,4.0,0.0321,0.595,0.875,0.0,0.173,-2.969,0.0737,0.59,85.981,59.0
Mr. Bass,A.C.E,M,207972.0,5.0,0.0,4.0,0.00304,0.716,0.925,0.0,0.468,-3.258,0.0596,0.695,100.02,40.0
If You Heard,A.C.E,M,219497.0,1.0,0.0,4.0,0.109,0.642,0.899,0.0,0.292,-3.936,0.0519,0.618,98.002,39.0
5TAR (Incompletion),A.C.E,M,255322.0,11.0,1.0,4.0,0.112,0.362,0.628,0.0,0.0955,-5.769,0.0572,0.143,151.283,36.0
Callin',A.C.E,M,210181.0,5.0,0.0,4.0,0.121,0.552,0.887,0.0,0.0703,-3.182,0.202,0.589,77.541,40.0
Callin' - Instrumental,A.C.E,M,210072.0,5.0,0.0,4.0,0.0029,0.554,0.828,0.728,0.0547,-6.294,0.0738,0.546,154.981,22.0
CACTUS,A.C.E,M,201805.0,10.0,0.0,4.0,0.0146,0.543,0.969,3.68e-06,0.336,-2.643,0.0702,0.429,149.984,41.0
CACTUS - Instrumental,A.C.E,M,201805.0,6.0,1.0,4.0,0.00159,0.515,0.955,0.923,0.336,-3.654,0.0509,0.601,150.003,23.0
On the Low,A.C.E,M,169846.0,7.0,0.0,4.0,0.0804,0.744,0.42,0.0,0.296,-10.054,0.439,0.453,71.45,5.0
Mr Robot,A.C.E,M,156107.0,5.0,0.0,4.0,0.422,0.587,0.553,1.86e-06,0.128,-8.804,0.43,0.525,139.862,1.0
Guitar Vibes,A.C.E,M,111515.0,11.0,0.0,4.0,0.882,0.501,0.614,0.0,0.13,-8.548,0.302,0.73,66.941,0.0
Decepticons,A.C.E,M,170880.0,11.0,0.0,3.0,0.0601,0.489,0.636,0.0,0.154,-7.254,0.444,0.367,91.404,0.0
Money,A.C.E,M,138687.0,7.0,1.0,4.0,0.334,0.404,0.84,0.0,0.611,-9.073,0.421,0.672,190.384,0.0
Streets,A.C.E,M,186000.0,5.0,0.0,4.0,0.546,0.69,0.328,0.146,0.105,-12.12,0.323,0.35,140.049,0.0
Bounce,A.C.E,M,227213.0,4.0,0.0,4.0,0.242,0.718,0.555,0.0,0.0897,-10.887,0.129,0.742,180.012,1.0
Lyft,A.C.E,M,207047.0,11.0,0.0,4.0,0.208,0.77,0.682,0.0,0.0663,-7.015,0.243,0.829,160.01,0.0
Change Your Life,A.C.E,M,243644.0,9.0,1.0,4.0,0.276,0.654,0.358,0.0,0.0989,-14.792,0.158,0.232,149.975,0.0
Ridin',A.C.E,M,236238.0,5.0,0.0,4.0,0.0933,0.531,0.383,0.0,0.0905,-13.644,0.422,0.174,179.992,1.0
Way 2 Fine,A.C.E,M,184607.0,9.0,1.0,4.0,0.0587,0.68,0.56,0.00357,0.156,-8.852,0.0722,0.247,158.062,0.0
"Catch These Vibes - ""S"" Remix",A.C.E,M,153469.0,6.0,1.0,4.0,0.272,0.796,0.581,0.0,0.057,-10.213,0.109,0.517,121.96,0.0
Unappreciated,A.C.E,M,199131.0,5.0,0.0,4.0,0.34,0.748,0.57,0.0,0.124,-8.679,0.186,0.343,79.999,0.0
Molly Freestyle,A.C.E,M,170712.0,1.0,0.0,4.0,0.694,0.824,0.264,1.68e-05,0.0735,-17.573,0.328,0.204,136.015,0.0
I Feel So Lucky (feat. A.C.E),A.C.E,M,238000.0,8.0,0.0,4.0,0.0173,0.815,0.725,0.0,0.0922,-4.94,0.12,0.588,102.931,43.0
Remember,WINNER,M,223871.0,3.0,1.0,4.0,0.757,0.738,0.505,0.0,0.104,-6.76,0.031,0.264,130.115,66.0
Dduk (JINU SOLO),WINNER,M,210174.0,7.0,1.0,4.0,0.853,0.547,0.258,0.0,0.0976,-9.146,0.0375,0.388,137.326,53.0
Hold,WINNER,M,176352.0,8.0,1.0,4.0,0.0476,0.696,0.652,0.0,0.0324,-5.473,0.0604,0.618,155.93,57.0
Just dance,WINNER,M,200844.0,0.0,1.0,4.0,0.0553,0.762,0.597,0.0,0.135,-5.401,0.0686,0.855,117.982,53.0
My bad,WINNER,M,235331.0,6.0,0.0,4.0,0.515,0.736,0.519,0.0,0.105,-7.058,0.0469,0.426,92.955,54.0
Teaser,WINNER,M,224443.0,0.0,1.0,4.0,0.284,0.707,0.601,0.0,0.117,-5.749,0.0392,0.563,130.001,52.0
Well,WINNER,M,222491.0,2.0,1.0,4.0,0.341,0.635,0.708,0.0,0.0611,-5.353,0.0484,0.322,123.996,52.0
Serenade (HOONY SOLO),WINNER,M,196790.0,7.0,1.0,4.0,0.0112,0.64,0.699,0.0,0.0777,-4.903,0.0413,0.48,130.029,51.0
Empty (4 ver.),WINNER,M,220126.0,0.0,1.0,4.0,0.185,0.643,0.682,0.0,0.472,-6.951,0.0373,0.577,90.058,51.0
Don’t flirt (4 ver.),WINNER,M,205851.0,10.0,0.0,4.0,0.0629,0.721,0.7,0.0,0.0356,-3.678,0.222,0.718,89.821,50.0
Color ring (4 ver.),WINNER,M,235152.0,2.0,1.0,4.0,0.484,0.571,0.761,0.0,0.0709,-6.239,0.0633,0.398,139.927,49.0
Different (4 ver.),WINNER,M,237669.0,4.0,1.0,4.0,0.189,0.638,0.767,0.0,0.0919,-5.687,0.18,0.741,152.102,50.0
REMEMBER - KR Ver.,WINNER,M,223871.0,3.0,1.0,4.0,0.754,0.737,0.503,0.0,0.104,-6.752,0.0309,0.273,130.109,40.0
DDUK - JINU SOLO KR Ver.,WINNER,M,210174.0,7.0,1.0,4.0,0.852,0.475,0.263,0.0,0.0966,-9.144,0.0406,0.371,136.74,29.0
HOLD - KR Ver.,WINNER,M,176352.0,8.0,1.0,4.0,0.0446,0.698,0.656,0.0,0.0311,-5.476,0.0616,0.649,155.931,40.0
JUST DANCE - KR Ver.,WINNER,M,200844.0,0.0,1.0,4.0,0.0576,0.76,0.593,0.0,0.137,-5.404,0.0712,0.857,117.981,29.0
MY BAD - KR Ver.,WINNER,M,235331.0,6.0,0.0,4.0,0.511,0.739,0.519,0.0,0.105,-7.043,0.0445,0.424,93.022,30.0
TEASER - KR Ver.,WINNER,M,224443.0,0.0,1.0,4.0,0.292,0.708,0.608,0.0,0.116,-5.743,0.0385,0.574,130.0,28.0
WELL - KR Ver.,WINNER,M,222491.0,2.0,1.0,4.0,0.331,0.635,0.709,0.0,0.0621,-5.356,0.0477,0.315,124.02,29.0
SERENADE - HOONY SOLO KR Ver.,WINNER,M,196790.0,7.0,1.0,4.0,0.011,0.639,0.694,0.0,0.0766,-4.907,0.0423,0.481,130.055,28.0
EMPTY - 4 ver. KR Ver.,WINNER,M,220126.0,0.0,1.0,4.0,0.184,0.417,0.686,0.0,0.473,-6.934,0.0464,0.572,88.399,28.0
DON'T FLIRT - 4 ver. KR Ver.,WINNER,M,205851.0,10.0,0.0,4.0,0.0615,0.698,0.701,0.0,0.035,-3.671,0.22,0.706,89.996,28.0
COLOR RING - 4 ver. KR Ver.,WINNER,M,235152.0,2.0,1.0,4.0,0.491,0.578,0.762,0.0,0.0708,-6.218,0.0664,0.398,139.936,26.0
DIFFERENT - 4 ver. KR Ver.,WINNER,M,237669.0,1.0,0.0,4.0,0.193,0.634,0.771,0.0,0.0893,-5.66,0.189,0.736,152.1,26.0
